0.0635,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.psyshock,Jynx,frost breath.avalanche.psyshock
0.0639463,Marshtomp,water gun.surf.mud bomb,Whiscash,mud shot.mud bomb.water pulse,Whiscash,mud shot.mud bomb.blizzard
0.0642122,Mamoswine,powder snow.avalanche.ancient power,Piloswine,powder snow.avalanche.stone edge,Alolan ninetales,powder snow.ice beam.psyshock
0.0644707,Walrein,frost breath.water pulse.blizzard,Alolan ninetales,powder snow.ice beam.dazzling gleam,Abomasnow,powder snow.outrage.blizzard
0.0648098,Mamoswine,powder snow.avalanche.ancient power,Dewgong,ice shard.icy wind.water pulse,Cloyster,ice shard.avalanche.hydro pump
0.064861,Flygon,mud shot.dragon claw.earthquake,Walrein,frost breath.water pulse.blizzard,Mamoswine,powder snow.avalanche.ancient power
0.0653049,Mamoswine,powder snow.avalanche.ancient power,Alolan ninetales,powder snow.ice beam.dazzling gleam,Abomasnow,powder snow.outrage.blizzard
0.0653756,Cloyster,ice shard.avalanche.hydro pump,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0654585,Walrein,frost breath.water pulse.blizzard,Dewgong,ice shard.icy wind.water pulse,Froslass,powder snow.avalanche.shadow ball
0.0679341,Walrein,frost breath.water pulse.blizzard,Dewgong,ice shard.icy wind.water pulse,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0679463,Mamoswine,powder snow.avalanche.ancient power,Piloswine,powder snow.avalanche.stone edge,Abomasnow,powder snow.outrage.blizzard
0.0679951,Mamoswine,powder snow.avalanche.ancient power,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.dazzling gleam
0.0686976,Dewgong,ice shard.icy wind.water pulse,Alolan ninetales,powder snow.ice beam.dazzling gleam,Jynx,frost breath.avalanche.psyshock
0.0687171,Froslass,powder snow.avalanche.shadow ball,Alolan ninetales,powder snow.ice beam.psyshock,Sneasel,ice shard.ice punch.foul play
0.0696512,Froslass,powder snow.avalanche.shadow ball,Sneasel,ice shard.ice punch.foul play,Abomasnow,powder snow.outrage.blizzard
0.0697366,Dewgong,ice shard.icy wind.water pulse,Alolan ninetales,powder snow.ice beam.dazzling gleam,Sneasel,ice shard.ice punch.foul play
0.0701585,Walrein,frost breath.water pulse.blizzard,Piloswine,powder snow.avalanche.stone edge,Dewgong,ice shard.icy wind.water pulse
